species,long,lat,ID
DHOsim_all,116.3813368,4.818751948,1
DHOsim_all,116.5292421,5.724803968,2
DHOsim_all,117.6643284,4.863854172,3
DHOsim_all,116.1152419,4.701456274,4
DHOsim_all,116.7847673,4.564365888,5
DHOsim_all,116.0073445,5.370041358,6
DHOsim_all,115.6831072,4.875837545,7
DHOsim_all,115.7573913,4.24908843,8
DHOsim_all,116.582086,5.828893696,9
DHOsim_all,115.8483378,5.188838625,10
DHOsim_all,116.2944763,4.778802826,11
DHOsim_all,116.0222045,4.592975171,12
DHOsim_all,116.5227727,4.878992141,13
DHOsim_all,116.7439935,4.421403289,14
DHOsim_all,116.3422228,4.700752506,15
DHOsim_all,116.8100767,5.416020948,16
DHOsim_all,116.658037,6.184858138,17
DHOsim_all,116.9699425,4.495743272,18
DHOsim_all,116.695301,6.381236343,19
DHOsim_all,116.1244504,5.509538533,20
DHOsim_all,117.066762,4.634556,21
DHOsim_all,116.4494387,5.192693011,22
DHOsim_all,116.0472669,5.036108797,23
DHOsim_all,116.4989242,5.886763751,24
DHOsim_all,117.6152063,4.991047486,25
DHOsim_all,116.1764934,4.538100036,26
DHOsim_all,116.1650816,5.717278738,27
DHOsim_all,116.6918025,4.460160157,28
DHOsim_all,116.4821498,5.865011123,29
DHOsim_all,116.3790447,4.702578351,30
DHOsim_all,116.5718264,5.733179801,31
DHOsim_all,116.9383628,4.505203965,32
DHOsim_all,117.1164397,4.693439119,33
DHOsim_all,116.6329128,6.133810974,34
DHOsim_all,116.2677428,4.783566173,35
DHOsim_all,116.7020093,6.22495791,36
DHOsim_all,116.5341764,4.887339496,37
DHOsim_all,116.6579853,6.11719242,38
DHOsim_all,116.7846637,4.474609132,39
DHOsim_all,116.2068996,5.798055724,40
DHOsim_all,115.7107377,4.223223146,41
DHOsim_all,116.1474276,5.599212039,42
DHOsim_all,116.6677245,5.818408461,43
DHOsim_all,116.3027232,4.868623118,44
DHOsim_all,116.5398718,5.67911781,45
DHOsim_all,116.4929109,5.956790967,46
DHOsim_all,116.2415325,4.846097517,47
DHOsim_all,116.4278236,4.852039072,48
DHOsim_all,116.111212,4.563992909,49
DHOsim_all,116.590942,4.893135902,50
DHOsim_all,116.0403628,4.627965617,51
DHOsim_all,116.7955852,4.338129183,52
DHOsim_all,116.0399035,5.490470211,53
DHOsim_all,116.2466585,5.758987978,54
DHOsim_all,116.8223974,4.470151391,55
DHOsim_all,116.7189456,4.420836893,56
